№,Название,рейтинг товара,Ссылка на товар,Дата парсинга страницы,Время парсинга страницы
0,"BISSELL Little Green Mini Portable Carpet and Upholstery Deep Cleaner, Car/Auto Detailer, with HydroRinse Self-Cleaning Tool and 4"" Tough Stain Tool, Tea Green, 4075",4.6 звезд,https://www.amazon.com/BISSELL-Upholstery-HydroRinse-Self-Cleaning-4075/dp/B0DJMP6T3N/ref=sr_1_1?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-1,2025-10-16,00:14:24.306951
1,"BLACK+DECKER dustbuster AdvancedClean Cordless Handheld Vacuum, Compact Home and Car Vacuum with Crevice Tool (CHV1410L)",4.3 звезд,https://www.amazon.com/BLACK-DECKER-Dustbuster-Cordless-CHV1410L/dp/B006LXOJC0/ref=sr_1_2?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-2,2025-10-16,00:14:24.307951
2,"BISSELL Little Green Multi-Purpose Portable Carpet and Upholstery Cleaner, Car and Auto Detailer, with Exclusive Specialty Tools, Green, 1400B",4.4 звезд,https://www.amazon.com/Bissell-Multi-Purpose-Portable-Upholstery-1400B/dp/B0016HF5GK/ref=sr_1_3?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-3,2025-10-16,00:14:24.308952
3,"LEVOIT Cordless Vacuum Cleaner, Stick Vac with Tangle-Resistant Design, Up to 50 Minutes, Powerful Suction, Rechargeable, Lightweight, and Versatile for Carpet, Hard Floor, Pet Hair, LVAC-200",4.3 звезд,https://www.amazon.com/LEVOIT-Tangle-Resistant-Rechargeable-Lightweight-Versatile/dp/B0CB6B2JWG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-4,2025-10-16,00:14:24.309951
4,"Dyson V8 Plus Cordless Vacuum, Cleans Hard Floors and Carpets, Detangles, Converts to Handheld, 115AW, 2 Power Modes, Up to 40 Minutes¹",4.1 звезд,https://www.amazon.com/Dyson-Cordless-Vacuum-Silver-Nickel/dp/B0CT9552BL/ref=sr_1_5?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-5,2025-10-16,00:14:24.309951
5,Shark | Upright Vacuum Cleaner | Navigator Lift-Away | Swivel Steering | HEPA Filter | Vacuum for Pet Hair | Crevice Tool & Dusting Brush Included | For Carpets & Hard Floors | White/Silver | NV356E,4.4 звезд,https://www.amazon.com/Shark-Navigator-Lift-Away-Professional-NV356E/dp/B005KMDV9A/ref=sr_1_6?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-6,2025-10-16,00:14:24.310951
6,"Shark Steam Pocket Mop with 2 Washable Double-sided Pads, Steam Sanitization, Swivel Steering, Lightweight, Steam Cleaner for Sealed Hard Floors, Hardwood, Marble, Tile, Purple, S3501",4.4 звезд,https://www.amazon.com/Shark-Pocket-Cleaner-Steering-S3501/dp/B0028MB3HM/ref=sr_1_7?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-7,2025-10-16,00:14:24.310951
7,"eufy C10 Robot Vacuum Self Emptying, 8 Weeks Hands Free, Advanced Smart Mapping with LiDAR Navigation, 2.85-Inch Slim Design, Powerful Suction, Edge Expansion Brush for Pet Hair",4.2 звезд,https://www.amazon.com/eufy-Emptying-Expansion-2-85-Inch-Navigation/dp/B0DR7W6CZM/ref=sr_1_8?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-8,2025-10-16,00:14:24.311953
8,"Eureka NES215A Blaze 3-in-1 Swivel Handheld & Stick Vacuum Cleaner, Blue",4.2 звезд,https://www.amazon.com/Eureka-NES215A-Swivel-Handheld-Cleaner/dp/B07NVR2NTT/ref=sr_1_9?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-9,2025-10-16,00:14:24.311953
9,"Bissell Crosswave Turbo Vacuum Mop All in One Wet and Dry Vac Combo Hard Floor & Area Rug Cleaner, 3888A",4.2 звезд,https://www.amazon.com/BISSELL-CrossWave-Cleaner-Wet-Dry-3888A/dp/B0C9V48DDZ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.jFGf4NNC26m3VY4jpi02TY-P1z3rkwKtvpt9lX7CJalKYCCXot5AUE62VeRgLMJLF-HP1KyFrlBpM8uAA8zx5zLHuQhCclmTZeNjifX2TWahXJs4ePkw7r2rPpA8qHGrPxQm33RkcUde1r95Fu92U_AE6Sjqg2RkBA3W-opzdh5WBRmMSShcMtAXoCtYLxXE8f7tpE8YJchFaPFqCw-_WXb2oqiayJfOBgi4cfIdaACNUQETx8hyPaaTfFxzCmgexFIa-beNTLeKEYT-s9H7i4-I4SvwjZoSZGPlE4rWhqc.Bdfmh4KIf28mAr57YBR_LgJKkF5xflHe3jpYOl5_FoQ&dib_tag=se&qid=1760562805&s=vacuums&sr=1-10,2025-10-16,00:14:24.312953
